Competition,Season,Pos,Team,M,W,D,L,G,GA,PTS
Bundesliga,2015/16,1,Bayern Munich,34,28,4,2,80,17,88
Bundesliga,2015/16,2,Borussia Dortmund,34,24,6,4,82,34,78
Bundesliga,2015/16,3,Bayer Leverkusen,34,18,6,10,56,40,60
Bundesliga,2015/16,4,Borussia M.Gladbach,34,17,4,13,67,50,55
Bundesliga,2015/16,5,Schalke 04,34,15,7,12,51,49,52
Bundesliga,2015/16,6,Mainz 05,34,14,8,12,46,42,50
Bundesliga,2015/16,7,Hertha Berlin,34,14,8,12,42,42,50
Bundesliga,2015/16,8,Wolfsburg,34,12,9,13,47,49,45
Bundesliga,2015/16,9,FC Cologne,34,10,13,11,38,42,43
Bundesliga,2015/16,10,Hamburger SV,34,11,8,15,40,46,41
Bundesliga,2015/16,11,Ingolstadt,34,10,10,14,33,42,40
Bundesliga,2015/16,12,Augsburg,34,9,11,14,42,52,38
Bundesliga,2015/16,13,Werder Bremen,34,10,8,16,50,65,38
Bundesliga,2015/16,14,Darmstadt,34,9,11,14,38,53,38
Bundesliga,2015/16,15,Hoffenheim,34,9,10,15,39,54,37
Bundesliga,2015/16,16,Eintracht Frankfurt,34,9,9,16,34,52,36
Bundesliga,2015/16,17,VfB Stuttgart,34,9,6,19,50,75,33
Bundesliga,2015/16,18,Hannover 96,34,7,4,23,31,62,25
Bundesliga,2016/17,1,Bayern Munich,34,25,7,2,89,22,82
Bundesliga,2016/17,2,RasenBallsport Leipzig,34,20,7,7,66,39,67
Bundesliga,2016/17,3,Borussia Dortmund,34,18,10,6,72,40,64
Bundesliga,2016/17,4,Hoffenheim,34,16,14,4,64,37,62
Bundesliga,2016/17,5,FC Cologne,34,12,13,9,51,42,49
Bundesliga,2016/17,6,Hertha Berlin,34,15,4,15,43,47,49
Bundesliga,2016/17,7,Freiburg,34,14,6,14,42,60,48
Bundesliga,2016/17,8,Werder Bremen,34,13,6,15,61,64,45
Bundesliga,2016/17,9,Borussia M.Gladbach,34,12,9,13,45,49,45
Bundesliga,2016/17,10,Schalke 04,34,11,10,13,45,40,43
Bundesliga,2016/17,11,Eintracht Frankfurt,34,11,9,14,36,43,42
Bundesliga,2016/17,12,Bayer Leverkusen,34,11,8,15,53,55,41
Bundesliga,2016/17,13,Augsburg,34,9,11,14,35,51,38
Bundesliga,2016/17,14,Hamburger SV,34,10,8,16,33,61,38
Bundesliga,2016/17,15,Mainz 05,34,10,7,17,44,55,37
Bundesliga,2016/17,16,Wolfsburg,34,10,7,17,34,52,37
Bundesliga,2016/17,17,Ingolstadt,34,8,8,18,36,57,32
Bundesliga,2016/17,18,Darmstadt,34,7,4,23,28,63,25
Bundesliga,2017/18,1,Bayern Munich,34,27,3,4,92,28,84
Bundesliga,2017/18,2,Schalke 04,34,18,9,7,53,37,63
Bundesliga,2017/18,3,Hoffenheim,34,15,10,9,66,48,55
Bundesliga,2017/18,4,Borussia Dortmund,34,15,10,9,64,47,55
Bundesliga,2017/18,5,Bayer Leverkusen,34,15,10,9,58,44,55
Bundesliga,2017/18,6,RasenBallsport Leipzig,34,15,8,11,57,53,53
Bundesliga,2017/18,7,VfB Stuttgart,34,15,6,13,36,36,51
Bundesliga,2017/18,8,Eintracht Frankfurt,34,14,7,13,45,45,49
Bundesliga,2017/18,9,Borussia M.Gladbach,34,13,8,13,47,52,47
Bundesliga,2017/18,10,Hertha Berlin,34,10,13,11,43,46,43
Bundesliga,2017/18,11,Werder Bremen,34,10,12,12,37,40,42
Bundesliga,2017/18,12,Augsburg,34,10,11,13,43,46,41
Bundesliga,2017/18,13,Hannover 96,34,10,9,15,44,54,39
Bundesliga,2017/18,14,Mainz 05,34,9,9,16,38,52,36
Bundesliga,2017/18,15,Freiburg,34,8,12,14,32,56,36
Bundesliga,2017/18,16,Wolfsburg,34,6,15,13,36,48,33
Bundesliga,2017/18,17,Hamburger SV,34,8,7,19,29,53,31
Bundesliga,2017/18,18,FC Cologne,34,5,7,22,35,70,22
Bundesliga,2018/19,1,Bayern Munich,34,24,6,4,88,32,78
Bundesliga,2018/19,2,Borussia Dortmund,34,23,7,4,81,44,76
Bundesliga,2018/19,3,RasenBallsport Leipzig,34,19,9,6,63,29,66
Bundesliga,2018/19,4,Bayer Leverkusen,34,18,4,12,69,52,58
Bundesliga,2018/19,5,Borussia M.Gladbach,34,16,7,11,55,42,55
Bundesliga,2018/19,6,Wolfsburg,34,16,7,11,62,50,55
Bundesliga,2018/19,7,Eintracht Frankfurt,34,15,9,10,60,48,54
Bundesliga,2018/19,8,Werder Bremen,34,14,11,9,58,49,53
Bundesliga,2018/19,9,Hoffenheim,34,13,12,9,70,52,51
Bundesliga,2018/19,10,Fortuna Duesseldorf,34,13,5,16,49,65,44
Bundesliga,2018/19,11,Hertha Berlin,34,11,10,13,49,57,43
Bundesliga,2018/19,12,Mainz 05,34,12,7,15,46,57,43
